S/N	QR	Image Name	Name	Category	Flavor Text	Deck	Additional info	Effects	Weight	Range	Damage	RoF	AP	Min Str	Burst	Shots	AP Rounds	HE Rounds	Cost	Armor	Toughness	Long Description	LeaveThisOneEmpty
37	http://units.systems/tsd/compass/	compass	COMPASS	Surv	"A force unknown controls this device."	TSD																A precision instrument for safe guidance if you know how to use it.	
38	http://units.systems/tsd/kneepads/	kneepads	KNEEPADS	Armor	"Down on your knees and feel good about it."	TSD																When you have to quickly take a knee for that critical shot, a little bit of padding can help you keep your focus on target.	
39	http://units.systems/tsd/welding-helmet/	welding-helmet	WELDING HELMET	Armor	"Spatters or sparks, protects your face from ugly marks."	TSD			4										100	2		Block body fluids or splinters, hot or cold stuff. Features a tough visor that's easy to clean.	
40	http://units.systems/tsd/ring-of-keys/	ring-of-keys	RING OF KEYS	Quest	"These might be the keys to Another World."	TSD																People usually keep their valuables locked away. Keys fit into locks. Now just find the matching pairs.	
41	http://units.systems/tsd/plastic-bottles/	plastic-bottles	PLASTIC BOTTLES	Surv	"More common than fish in the sea."	TSD																Durable, flexible container that holds liquids for survival or attack. They come in a variety of configurations	
42	http://units.systems/tsd/gas-mask/	gas-mask	GAS MASK	Surv	"Smell you later."	TSD																Engineering at its best. It's made for hazardous environments where respiratory functions would be seriously damaged without filtration.	
43	http://units.systems/tsd/pillbox/	pillbox	PILLBOX	Quest	"Take the blue pill."	TSD																Created to alter the biological or mental state of the user. They can stop bleeding, treat insanity, induce hallucinations or put men to sleep. Most often they are taken orally, swallowed whole.	
44	http://units.systems/tsd/canned-food/	canned-food	CANNED FOOD	Surv	"Beggars can't be choosers."	TSD																Thin metal container that preserves edibles. Often stacked as a status symbol in special cabinets, they usually contain vegetables or meat. Special tools may be used to open them efficiently.	
45	http://units.systems/tsd/fine-hardbound-book/	fine-hardbound-book	FINE HARDBOUND BOOK	Quest	"Someone had a lot to say in the name of someone else."	TSD																Intellectual property should not to be underestimated. With a book in your hand you might come out as a pundit instead of a bandit.	
46	http://units.systems/tsd/thick-blanket/	thick-blanket	THICK BLANKET	Surv	"Cover me!"	TSD																When the nights and the seasons are against you, hug this one a little tighter.	
47	http://units.systems/tsd/scotch/	scotch	SCOTCH	Surv	"Liquid courage in the form of single or blended."	TSD																Comes in many shapes, but once emptied becomes, "the best I ever had."	
48	http://units.systems/tsd/crowbar/	crowbar	CROWBAR	Weap	"Need to jimmy that?"	TSD	Reach 1		2		Str+d4								10			A solid piece of equipment, well worth its weight. Once you start using it, you can’t be without it.	
49	http://units.systems/tsd/trenchcoat/	trenchcoat	TRENCHCOAT	Armor	"#Lurktime"	TSD																Excellent to conceal contraband on your body, or more mundanely, keep your arms and legs dry in harsh weather conditions.	
50	http://units.systems/tsd/oil-lamp/	oil-lamp	OIL LAMP	Surv	"Light your way, old style."	TSD																The best substitute for a lamp in any low tech society. Any hardcore prepper's first choice of light source.	
51	http://units.systems/tsd/glasses-of-seeing/	glasses-of-seeing	GLASSES OF SEEING	Armor	"Put these on and a new world might be revealed."	TSD																Glasses come in all forms and shapes but they most often make you look like someone not to hit in the face.	
52	http://units.systems/tsd/waterflask/	waterflask	WATER FLASK	Surv	"Bring your own drink to the party."	TSD																For longer journeys you always need a reliable container. Never miss a chance to fill 'er up!	
53	http://units.systems/tsd/fire-extinguisher/	fire-extinguisher	FIRE EXTINGUISHER	Surv	"Always aim for the base."	TSD																Pressure filled canister for dousing flames in awkward places. Can kill a fire in a blink of an eye if handled properly.	
54	http://units.systems/tsd/roadsign-shield/	roadsign-shield	ROADSIGN SHIELD	Armor	"Fast protection against furious forces."	TSD	+1 Parry. +2 Armor to ranged shots that hit.		12										0			A punched lightweight sheet of metal, bendable, but sturdy as well. Found everywhere, usually perforated and corroded, but one or two in mint condition is a real haul.	
